Year,Mth,Month,Facility Reference Number,Licence Holder,Zone,FH_Zone,Site_Name,Latitude,Longitude,Sample Type,Date,Leps_mot,Leps_AF,Chalimus,Cali_mot,Counts_Pens,Prop_AF,Year Class
2021,5,May,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,-126.18595,50.67346,Routine monitoring,12-May-21,0.28,0,0.6,0.18,2,0,1
2021,5,May,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,-126.18595,50.67346,Routine monitoring,26-May-21,0.35,0,0.1,0.3,2,0,1
2021,6,June,1618,MOWI Canada West,Broughton Archipelago,3.3,Humphrey Rock,-126.25532,50.69682,Routine monitoring,11-Jun-21,0.08,0,0,0.05,2,0,1
2021,6,June,143,MOWI Canada West,Broughton Archipelago,3.3,Larsen Island,-126.63284,50.60175,Routine monitoring,18-Jun-21,0.08,0,0.05,0,2,0,1
2021,6,June,143,MOWI Canada West,Broughton Archipelago,3.3,Larsen Island,-126.63284,50.60175,Routine monitoring,30-Jun-21,0.18,0,0.33,0.05,2,0,1
2021,6,June,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,-126.18595,50.67346,Routine monitoring,08-Jun-21,0.18,0,0.05,0.2,2,0,1
2021,8,August,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,05-Aug-21,0.05,0,0,0,2,0,1
2021,9,September,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,17-Sep-21,0.1,0,0,0,2,0,1
2013,5,May,1580,Marine Harvest Canada,Central Coast,3.5,Jackson Pass,52.53727,-128.40286,Routine monitoring,28-May-13,0.13,0,2.13,0.3,2,0,1
2013,5,May,884,Marine Harvest Canada,Central Coast,3.5,Lochalsh Bay,52.53399,-128.3602,Routine monitoring,27-May-13,0.05,0,0.35,0.53,2,0,1
2017,4,April,7714,Marine Harvest Canada,Central Coast,3.5,Alexander,52.67648,-128.57494,Routine monitoring,04-Apr-17,0.08,0,0.68,0.38,2,0,1
2017,4,April,7714,Marine Harvest Canada,Central Coast,3.5,Alexander,52.67648,-128.57494,Routine monitoring,18-Apr-17,0.2,0,1.75,1.03,2,0,1
2017,5,May,7713,Marine Harvest Canada,Central Coast,3.5,Cougar,52.71993,-128.57432,Routine monitoring,24-May-17,0.25,0,6.95,0.6,2,0,1
2017,7,July,7714,Marine Harvest Canada,Central Coast,3.5,Alexander,52.67648,-128.57494,Routine monitoring,20-Jul-17,0.03,0,0.15,0.48,2,0,1
2020,6,June,1895,MOWI Canada West,Central Coast,3.5,Sheep Passage,-128.31093,52.79609,Routine monitoring,17-Jun-20,0.03,0,0,0.18,2,0,1
2021,6,June,1895,MOWI Canada West,Central Coast,3.5,Sheep Passage,-128.31093,52.79609,Routine monitoring,13-Jun-21,0.18,0,0,0.03,2,0,2
2021,12,December,7714,MOWI Canada West,Central Coast,3.5,Alexander,52.67648,-128.57494,Routine monitoring,28-Dec-21,1.43,0,3.18,0,2,0,1
